rank,journal_name_raw,journal_name_standard,match_note,cas_2025_zone,cas_2025_top,cas_2025_oa,cas_2025_major_category,cas_2025_minor_category_reference,jcr_2024_jif,jcr_2024_quartile,issn,eissn,publisher,xr_2026_zone,xr_2026_top,xr_2026_major_category,xr_2026_minor_category_reference,source_note
1,Sustainability,SUSTAINABILITY,,Zone 3,否,是,环境科学与生态学,"ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE, SSCI)",3.3,Q2,,,,Zone 3,No,Environment Science and Ecology,"ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
2,Frontiers in Psychology,FRONTIERS IN PSYCHOLOGY,,Zone 3,否,是,心理学,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",2.9,Q1,,,,Zone 3,No,Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
3,Frontiers in Public Health,FRONTIERS IN PUBLIC HEALTH,,Zone 3,否,是,医学,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",3.4,Q1,,,,Zone 3,No,Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
4,Healthcare,HEALTHCARE,,Zone 4,否,是,医学,HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI),2.7,Q2,,,,Zone 3,No,Medicine,HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
5,Land,LAND,,Zone 3,否,是,环境科学与生态学,ENVIRONMENTAL STUDIES(SSCI),3.2,Q2,,,,Zone 3,No,Environment Science and Ecology,ENVIRONMENTAL STUDIES(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
6,Frontiers in Psychiatry,FRONTIERS IN PSYCHIATRY,,Zone 3,否,是,医学,"PSYCHIATRY(SCIE, SSCI)",3.2,Q2,,,,Zone 3,No,Medicine,"PSYCHIATRY(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
7,Current Psychology,CURRENT PSYCHOLOGY,,Zone 3,否,否,心理学,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",2.6,Q1,,,,Zone 3,No,Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
8,Journal of Affective Disorders,JOURNAL OF AFFECTIVE DISORDERS,,Zone 2,是,否,医学,"CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE, SSCI)",4.9,Q1,,,,Zone 2,Yes,Medicine,"CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
9,Finance Research Letters,FINANCE RESEARCH LETTERS,,Zone 2,否,否,经济学,"BUSINESS, FINANCE(SSCI)",6.9,Q1,,,,Zone 1,Yes,Economics,"BUSINESS, FINANCE(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
10,Resources Policy,RESOURCES POLICY,,nan,,,,,,,03014207,-,Elsevier Ltd,,,,,CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
